Expenditure_Data_Local_Authority,Expenditure_Data_Year,Expenditure_Data_Expenditure_Cash,Expenditure_Data_Expenditure_Real,Expenditure_Data_ServiceAreaAggregate,Expenditure_Data_ServiceAreaBreakdown,Expenditure_Data_YearIndex
Aberdeenshire,2012-13,4575,5759,Culture & Leisure,Libraries,13
Aberdeenshire,2012-13,1665,2096,Culture & Leisure,Museums & Galleries,13
Aberdeenshire,2012-13,9835,12381,Culture & Leisure,Sports Facilities,13
Aberdeenshire,2012-13,8286,10431,Economic Development,Economic Development & Tourism,13
Aberdeenshire,2012-13,14606,18386,Education,Pre-school,13
Aberdeenshire,2012-13,90108,113431,Education,Primary,13
Aberdeenshire,2012-13,93040,117121,Education,Secondary,13
Aberdeenshire,2012-13,2417,3043,Environmental Services,Street cleaning,13
Aberdeenshire,2012-13,5357,6744,Environmental Services,Trading Standards & Env. Health,13
Aberdeenshire,2012-13,8415,10593,Environmental Services,Waste Collection,13
Aberdeenshire,2012-13,13171,16580,Environmental Services,Waste Disposal,13
Aberdeenshire,2012-13,4566,5748,Looked After Children,Community,13
Aberdeenshire,2012-13,6268,7890,Looked After Children,Residential,13
Aberdeenshire,2012-13,5186,6528,Planning,Planning,13
Aberdeenshire,2012-13,34639,43605,Roads,Roads,13
Aberdeenshire,2012-13,41475,52210,Support Services,Support Services,13
Aberdeenshire,2012-13,555059,698724,Total General Fund,Total General Fund,13
Aberdeenshire,2013-14,33242,41057,Adult Social Care,Care Homes for Older People,14
Aberdeenshire,2013-14,17567,21697,Adult Social Care,Homecare,14
Aberdeenshire,2013-14,65845,81324,Adult Social Care,Other Spend On Over 18s,14
Aberdeenshire,2013-14,4259,5260,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,14
Aberdeenshire,2013-14,3933,4858,Culture & Leisure,Libraries,14
Aberdeenshire,2013-14,1375,1698,Culture & Leisure,Museums & Galleries,14
Aberdeenshire,2013-14,10515,12987,Culture & Leisure,Sports Facilities,14
Aberdeenshire,2013-14,8674,10713,Economic Development,Economic Development & Tourism,14
Aberdeenshire,2013-14,16527,20412,Education,Pre-school,14
Aberdeenshire,2013-14,96038,118615,Education,Primary,14
Aberdeenshire,2013-14,93952,116038,Education,Secondary,14
Aberdeenshire,2013-14,2327,2874,Environmental Services,Street cleaning,14
Aberdeenshire,2013-14,5527,6826,Environmental Services,Trading Standards & Env. Health,14
Aberdeenshire,2013-14,9004,11121,Environmental Services,Waste Collection,14
Aberdeenshire,2013-14,15013,18542,Environmental Services,Waste Disposal,14
Aberdeenshire,2013-14,4515,5576,Looked After Children,Community,14
Aberdeenshire,2013-14,5936,7331,Looked After Children,Residential,14
Aberdeenshire,2013-14,5365,6626,Planning,Planning,14
Aberdeenshire,2013-14,42072,51962,Roads,Roads,14
Aberdeenshire,2013-14,28903,35698,Support Services,Support Services,14
Aberdeenshire,2013-14,592085,731272,Total General Fund,Total General Fund,14
Aberdeenshire,2014-15,29969,36569,Adult Social Care,Care Homes for Older People,15
Aberdeenshire,2014-15,18556,22643,Adult Social Care,Homecare,15
Aberdeenshire,2014-15,74319,90687,Adult Social Care,Other Spend On Over 18s,15
Aberdeenshire,2014-15,4451,5431,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,15
Aberdeenshire,2014-15,3880,4735,Culture & Leisure,Libraries,15
Aberdeenshire,2014-15,1311,1600,Culture & Leisure,Museums & Galleries,15
Aberdeenshire,2014-15,10773,13146,Culture & Leisure,Sports Facilities,15
Aberdeenshire,2014-15,20478,24988,Economic Development,Economic Development & Tourism,15
Aberdeenshire,2014-15,17396,21227,Education,Pre-school,15
Aberdeenshire,2014-15,98874,120650,Education,Primary,15
Aberdeenshire,2014-15,94162,114900,Education,Secondary,15
Aberdeenshire,2014-15,2222,2711,Environmental Services,Street cleaning,15
Aberdeenshire,2014-15,5565,6791,Environmental Services,Trading Standards & Env. Health,15
