Expenditure_Data_Local_Authority,Expenditure_Data_Year,Expenditure_Data_Expenditure_Cash,Expenditure_Data_Expenditure_Real,Expenditure_Data_ServiceAreaAggregate,Expenditure_Data_ServiceAreaBreakdown,Expenditure_Data_YearIndex
Highland,2013-14,5671,7004,Culture & Leisure,Libraries,14
Highland,2013-14,1306,1613,Culture & Leisure,Museums & Galleries,14
Highland,2013-14,4060,5014,Culture & Leisure,Sports Facilities,14
Highland,2013-14,4187,5171,Economic Development,Economic Development & Tourism,14
Highland,2013-14,9877,12199,Education,Pre-school,14
Highland,2013-14,88128,108845,Education,Primary,14
Highland,2013-14,104069,128534,Education,Secondary,14
Highland,2013-14,2704,3340,Environmental Services,Street cleaning,14
Highland,2013-14,4887,6036,Environmental Services,Trading Standards & Env. Health,14
Highland,2013-14,14079,17389,Environmental Services,Waste Collection,14
Highland,2013-14,13776,17014,Environmental Services,Waste Disposal,14
Highland,2013-14,4044,4995,Looked After Children,Community,14
Highland,2013-14,13322,16454,Looked After Children,Residential,14
Highland,2013-14,6630,8189,Planning,Planning,14
Highland,2013-14,32468,40101,Roads,Roads,14
Highland,2013-14,48167,59490,Support Services,Support Services,14
Highland,2013-14,621010,766997,Total General Fund,Total General Fund,14
Highland,2014-15,32966,40226,Adult Social Care,Care Homes for Older People,15
Highland,2014-15,19095,23300,Adult Social Care,Homecare,15
Highland,2014-15,65862,80367,Adult Social Care,Other Spend On Over 18s,15
Highland,2014-15,3607,4401,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,15
Highland,2014-15,5723,6983,Culture & Leisure,Libraries,15
Highland,2014-15,1445,1763,Culture & Leisure,Museums & Galleries,15
Highland,2014-15,4678,5708,Culture & Leisure,Sports Facilities,15
Highland,2014-15,6646,8110,Economic Development,Economic Development & Tourism,15
Highland,2014-15,11874,14489,Education,Pre-school,15
Highland,2014-15,84705,103360,Education,Primary,15
Highland,2014-15,94976,115893,Education,Secondary,15
Highland,2014-15,2630,3209,Environmental Services,Street cleaning,15
Highland,2014-15,4806,5864,Environmental Services,Trading Standards & Env. Health,15
Highland,2014-15,15109,18437,Environmental Services,Waste Collection,15
Highland,2014-15,12982,15841,Environmental Services,Waste Disposal,15
Highland,2014-15,3817,4658,Looked After Children,Community,15
Highland,2014-15,13276,16200,Looked After Children,Residential,15
Highland,2014-15,7036,8586,Planning,Planning,15
Highland,2014-15,31265,38151,Roads,Roads,15
Highland,2014-15,53709,65538,Support Services,Support Services,15
Highland,2014-15,609759,744050,Total General Fund,Total General Fund,15
Highland,2015-16,34872,42248,Adult Social Care,Care Homes for Older People,16
Highland,2015-16,20750,25139,Adult Social Care,Homecare,16
Highland,2015-16,67561,81852,Adult Social Care,Other Spend On Over 18s,16
Highland,2015-16,4062,4921,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,16
Highland,2015-16,5814,7044,Culture & Leisure,Libraries,16
Highland,2015-16,1371,1661,Culture & Leisure,Museums & Galleries,16
Highland,2015-16,4531,5489,Culture & Leisure,Sports Facilities,16
Highland,2015-16,6863,8315,Economic Development,Economic Development & Tourism,16
Highland,2015-16,15702,19023,Education,Pre-school,16
Highland,2015-16,86538,104843,Education,Primary,16
Highland,2015-16,95106,115223,Education,Secondary,16
Highland,2015-16,2673,3238,Environmental Services,Street cleaning,16
Highland,2015-16,5374,6511,Environmental Services,Trading Standards & Env. Health,16
Highland,2015-16,14530,17603,Environmental Services,Waste Collection,16
Highland,2015-16,13462,16309,Environmental Services,Waste Disposal,16
Highland,2015-16,4030,4882,Looked After Children,Community,16
Highland,2015-16,14223,17231,Looked After Children,Residential,16
Highland,2015-16,9246,11202,Planning,Planning,16
Highland,2015-16,40690,49297,Roads,Roads,16
Highland,2015-16,52094,63113,Support Services,Support Services,16
Highland,2015-16,627296,759982,Total General Fund,Total General Fund,16
Highland,2016-17,36828,43626,Adult Social Care,Care Homes for Older People,17
Highland,2016-17,22726,26921,Adult Social Care,Homecare,17
Highland,2016-17,66699,79010,Adult Social Care,Other Spend On Over 18s,17
Highland,2016-17,3930,4655,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,17
Highland,2016-17,5885,6971,Culture & Leisure,Libraries,17
Highland,2016-17,978,1159,Culture & Leisure,Museums & Galleries,17
Highland,2016-17,3850,4561,Culture & Leisure,Sports Facilities,17
Highland,2016-17,5738,6797,Economic Development,Economic Development & Tourism,17
Highland,2016-17,16967,20099,Education,Pre-school,17
Highland,2016-17,84881,100548,Education,Primary,17
Highland,2016-17,92328,109370,Education,Secondary,17
Highland,2016-17,2158,2556,Environmental Services,Street cleaning,17
Highland,2016-17,4051,4799,Environmental Services,Trading Standards & Env. Health,17
Highland,2016-17,12562,14881,Environmental Services,Waste Collection,17
Highland,2016-17,11868,14059,Environmental Services,Waste Disposal,17
Highland,2016-17,3343,3960,Looked After Children,Community,17
Highland,2016-17,13302,15757,Looked After Children,Residential,17
Highland,2016-17,8111,9608,Planning,Planning,17
Highland,2016-17,57898,68585,Roads,Roads,17
Highland,2016-17,48196,57092,Support Services,Support Services,17
Highland,2016-17,622093,736917,Total General Fund,Total General Fund,17
Highland,2017-18,38843.6284683914,45304,Adult Social Care,Care Homes for Older People,18
Highland,2017-18,24267,28303,Adult Social Care,Homecare,18
Highland,2017-18,71333.3715316086,83197,Adult Social Care,Other Spend On Over 18s,18
Highland,2017-18,3720,4339,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,18
Highland,2017-18,5768,6727,Culture & Leisure,Libraries,18
Highland,2017-18,1373,1601,Culture & Leisure,Museums & Galleries,18
Highland,2017-18,5348,6237,Culture & Leisure,Sports Facilities,18
Highland,2017-18,8422,9823,Economic Development,Economic Development & Tourism,18
Highland,2017-18,18508,21586,Education,Pre-school,18
Highland,2017-18,90142,105134,Education,Primary,18
Highland,2017-18,92932,108388,Education,Secondary,18
Highland,2017-18,862,1005,Environmental Services,Street cleaning,18
Highland,2017-18,4466,5209,Environmental Services,Trading Standards & Env. Health,18
Highland,2017-18,11827,13794,Environmental Services,Waste Collection,18
Highland,2017-18,12630,14731,Environmental Services,Waste Disposal,18
Highland,2017-18,4464,5206,Looked After Children,Community,18
Highland,2017-18,15112,17625,Looked After Children,Residential,18
Highland,2017-18,6553,7643,Planning,Planning,18
Highland,2017-18,35803,41757,Roads,Roads,18
Highland,2017-18,48243,56266,Support Services,Support Services,18
Highland,2017-18,627093,731386,Total General Fund,Total General Fund,18
Highland,2018-19,30197.1762472963,34492,Adult Social Care,Care Homes for Older People,19
Highland,2018-19,23850,27242,Adult Social Care,Homecare,19
Highland,2018-19,88493.8237527037,101079,Adult Social Care,Other Spend On Over 18s,19
Highland,2018-19,2178,2488,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,19
Highland,2018-19,4962,5668,Culture & Leisure,Libraries,19
Highland,2018-19,944,1078,Culture & Leisure,Museums & Galleries,19
Highland,2018-19,5009,5721,Culture & Leisure,Sports Facilities,19
Highland,2018-19,13555,15483,Economic Development,Economic Development & Tourism,19
Highland,2018-19,20098,22956,Education,Pre-school,19
Highland,2018-19,91817,104875,Education,Primary,19
Highland,2018-19,94062,107439,Education,Secondary,19
Highland,2018-19,878,1003,Environmental Services,Street cleaning,19
Highland,2018-19,4743,5418,Environmental Services,Trading Standards & Env. Health,19
Highland,2018-19,11272,12875,Environmental Services,Waste Collection,19
Highland,2018-19,11201,12794,Environmental Services,Waste Disposal,19
Highland,2018-19,5318,6074,Looked After Children,Community,19
Highland,2018-19,19632,22424,Looked After Children,Residential,19
Highland,2018-19,6645,7590,Planning,Planning,19
Highland,2018-19,43906,50150,Roads,Roads,19
Highland,2018-19,49064,56042,Support Services,Support Services,19
Highland,2018-19,642732,734140,Total General Fund,Total General Fund,19
Highland,2019-20,41761.949479237,46601,Adult Social Care,Care Homes for Older People,20
Highland,2019-20,23231,25923,Adult Social Care,Homecare,20
Highland,2019-20,82217.050520763,91744,Adult Social Care,Other Spend On Over 18s,20
Highland,2019-20,3487,3891,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,20
Highland,2019-20,4970,5546,Culture & Leisure,Libraries,20
Highland,2019-20,994,1109,Culture & Leisure,Museums & Galleries,20
Highland,2019-20,5596,6244,Culture & Leisure,Sports Facilities,20
Highland,2019-20,17739,19794,Economic Development,Economic Development & Tourism,20
Highland,2019-20,24764,27633,Education,Pre-school,20
Highland,2019-20,98077,109441,Education,Primary,20
Highland,2019-20,101420,113172,Education,Secondary,20
Highland,2019-20,1950,2176,Environmental Services,Street cleaning,20
Highland,2019-20,5017,5598,Environmental Services,Trading Standards & Env. Health,20
Highland,2019-20,14247,15898,Environmental Services,Waste Collection,20
Highland,2019-20,13431,14987,Environmental Services,Waste Disposal,20
Highland,2019-20,5378,6001,Looked After Children,Community,20
Highland,2019-20,18661,20823,Looked After Children,Residential,20
Highland,2019-20,5900,6584,Planning,Planning,20
Highland,2019-20,43686,48748,Roads,Roads,20
Highland,2019-20,31354,34987,Support Services,Support Services,20
Highland,2019-20,655844,731838,Total General Fund,Total General Fund,20
Highland,2020-21,47754.833289103,52078,Adult Social Care,Care Homes for Older People,21
Highland,2020-21,25272,27560,Adult Social Care,Homecare,21
Highland,2020-21,85883.166710897,93658,Adult Social Care,Other Spend On Over 18s,21
Highland,2020-21,2668,2910,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,21
Highland,2020-21,2667,2908,Culture & Leisure,Libraries,21
Highland,2020-21,955,1041,Culture & Leisure,Museums & Galleries,21
Highland,2020-21,7245,7901,Culture & Leisure,Sports Facilities,21
Highland,2020-21,17898,19518,Economic Development,Economic Development & Tourism,21
Highland,2020-21,29680,32367,Education,Pre-school,21
Highland,2020-21,101792,111007,Education,Primary,21
Highland,2020-21,107287,117000,Education,Secondary,21
Highland,2020-21,1595,1739,Environmental Services,Street cleaning,21
Highland,2020-21,6198,6759,Environmental Services,Trading Standards & Env. Health,21
Highland,2020-21,14294,15588,Environmental Services,Waste Collection,21
Highland,2020-21,12635,13779,Environmental Services,Waste Disposal,21
Highland,2020-21,5897,6431,Looked After Children,Community,21
Highland,2020-21,18806,20509,Looked After Children,Residential,21
Highland,2020-21,6807,7423,Planning,Planning,21
Highland,2020-21,34244,37344,Roads,Roads,21
Highland,2020-21,28376,30945,Support Services,Support Services,21
Highland,2020-21,677398,738723,Total General Fund,Total General Fund,21
Highland,2021-22,49113,52343,Adult Social Care,Care Homes for Older People,22
Highland,2021-22,25256,26917,Adult Social Care,Homecare,22
Highland,2021-22,96143,102466,Adult Social Care,Other Spend On Over 18s,22
Highland,2021-22,4001,4264,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,22
Highland,2021-22,3932,4191,Culture & Leisure,Libraries,22
Highland,2021-22,1478,1575,Culture & Leisure,Museums & Galleries,22
Highland,2021-22,8482,9040,Culture & Leisure,Sports Facilities,22
Highland,2021-22,24681,26304,Economic Development,Economic Development & Tourism,22
Highland,2021-22,35793,38147,Education,Pre-school,22
Highland,2021-22,107353,114413,Education,Primary,22
Highland,2021-22,112573,119976,Education,Secondary,22
Highland,2021-22,2096,2234,Environmental Services,Street cleaning,22
Highland,2021-22,6730,7173,Environmental Services,Trading Standards & Env. Health,22
Highland,2021-22,17072,18195,Environmental Services,Waste Collection,22
Highland,2021-22,13170,14036,Environmental Services,Waste Disposal,22
Highland,2021-22,6425,6848,Looked After Children,Community,22
Highland,2021-22,20046,21364,Looked After Children,Residential,22
Highland,2021-22,6433,6856,Planning,Planning,22
Highland,2021-22,47403,50520,Roads,Roads,22
Highland,2021-22,32199,34317,Support Services,Support Services,22
Highland,2021-22,741022,789755,Total General Fund,Total General Fund,22
Highland,2022-23,49370,49370,Adult Social Care,Care Homes for Older People,23
Highland,2022-23,27006.3483444652,27006,Adult Social Care,Homecare,23
Highland,2022-23,110951.651655535,110952,Adult Social Care,Other Spend On Over 18s,23
Highland,2022-23,4042,4042,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,23
Highland,2022-23,4605,4605,Culture & Leisure,Libraries,23
Highland,2022-23,1057,1057,Culture & Leisure,Museums & Galleries,23
Highland,2022-23,7997,7997,Culture & Leisure,Sports Facilities,23
Highland,2022-23,22044,22044,Economic Development,Economic Development & Tourism,23
Highland,2022-23,34879,34879,Education,Pre-school,23
Highland,2022-23,119544,119544,Education,Primary,23
Highland,2022-23,125836,125836,Education,Secondary,23
Highland,2022-23,2352,2352,Environmental Services,Street cleaning,23
Highland,2022-23,7104,7104,Environmental Services,Trading Standards & Env. Health,23
Highland,2022-23,17892,17892,Environmental Services,Waste Collection,23
Highland,2022-23,13819,13819,Environmental Services,Waste Disposal,23
Highland,2022-23,6804,6804,Looked After Children,Community,23
Highland,2022-23,19267,19267,Looked After Children,Residential,23
Highland,2022-23,7416,7416,Planning,Planning,23
Highland,2022-23,53178,53178,Roads,Roads,23
Highland,2022-23,33882,33882,Support Services,Support Services,23
Highland,2022-23,814038,814038,Total General Fund,Total General Fund,23
Inverclyde,2010-11,13292,17340,Adult Social Care,Care Homes for Older People,11
Inverclyde,2010-11,9596,12518,Adult Social Care,Homecare,11
Inverclyde,2010-11,21226,27690,Adult Social Care,Other Spend On Over 18s,11
Inverclyde,2010-11,3484,4545,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,11
Inverclyde,2010-11,1342,1751,Culture & Leisure,Libraries,11
Inverclyde,2010-11,307,400,Culture & Leisure,Museums & Galleries,11
Inverclyde,2010-11,1903,2483,Culture & Leisure,Sports Facilities,11
Inverclyde,2010-11,11151,14547,Economic Development,Economic Development & Tourism,11
Inverclyde,2010-11,6952,9069,Education,Pre-school,11
Inverclyde,2010-11,26230,34218,Education,Primary,11
Inverclyde,2010-11,30757,40123,Education,Secondary,11
Inverclyde,2010-11,1508,1967,Environmental Services,Street cleaning,11
Inverclyde,2010-11,1587,2070,Environmental Services,Trading Standards & Env. Health,11
Inverclyde,2010-11,1912,2494,Environmental Services,Waste Collection,11
Inverclyde,2010-11,3302,4308,Environmental Services,Waste Disposal,11
Inverclyde,2010-11,1240,1618,Looked After Children,Community,11
Inverclyde,2010-11,5011,6537,Looked After Children,Residential,11
Inverclyde,2010-11,1073,1400,Planning,Planning,11
Inverclyde,2010-11,4837,6310,Roads,Roads,11
Inverclyde,2010-11,7050,9197,Support Services,Support Services,11
Inverclyde,2010-11,237696,310081,Total General Fund,Total General Fund,11
Inverclyde,2011-12,12498,16022,Adult Social Care,Care Homes for Older People,12
Inverclyde,2011-12,7781,9975,Adult Social Care,Homecare,12
Inverclyde,2011-12,24105,30901,Adult Social Care,Other Spend On Over 18s,12
Inverclyde,2011-12,3502,4489,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,12
